Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
161	0	2	8.429139e-02	0	1.688705e-14	2.779258e-12	2.454007e-14	5.124851e+01	1	0
162	2	4	6.870088e-02	2.449294e-16	1.629845e-14	1.629845e-12	2.449294e-14	100	1	1
162	0	4	-1.561694e-02	0	2.348337e+00	1.350708e-15	2.348337e+00	100	1	0
163	2	1	5.338332e-01	6.123234e-17	3.999353e-01	4.226322e+01	1.565292e+00	8.776413e+01	1	1
163	0	1	1.689211e-01	0	4.413350e-15	8.843973e-13	6.135217e-15	5.000000e+01	1	0
164	2	3	4.357859e-01	1.014122e-01	3.747684e+00	3.831105e+02	1.012384e+01	100	1	1
164	0	3	2.012968e-01	0	5.326762e+00	1.063521e+03	7.415922e+00	4.994818e+01	1	0
165	2	4	4.349037e-01	-4.693224e-02	1.295284e+00	1.293858e+02	4.691502e+00	100	1	1
165	0	4	1.840614e-01	0	1.479145e+00	2.909735e+02	2.717802e+00	9.080647e+01	1	0
166	2	2	2.183575e-01	7.787096e-02	4.386439e+00	4.167754e+02	8.186418e+00	9.621161e+01	1	1
166	0	2	3.499829e-02	0	3.551784e-15	2.912324e-13	5.152624e-15	5.131265e+01	1	0
167	2	3	3.524722e-01	8.847807e-02	2.597277e+00	2.551836e+02	8.576886e+00	100	1	1
167	0	3	2.014897e-01	0	6.656149e+00	1.326542e+03	8.771506e+00	5.060815e+01	1	0
168	2	1	2.008066e-01	-1.814317e-02	1.036001e+00	1.005425e+02	2.347360e+00	8.384990e+01	1	1
168	0	1	-1.545795e-02	0	0	0	0	0	1	0
169	2	2	4.516918e-01	2.642957e-16	9.617642e-03	9.745015e-01	1.174168e+00	1.419147e-16	1	1
169	0	2	1.357259e-01	0	1.864529e-14	3.736355e-12	2.648129e-14	50	1	0
170	2	4	3.347349e-01	3.911898e-02	6.403045e-01	6.573572e+01	3.910900e+00	100	1	1
170	0	4	8.391258e-02	0	1.438294e-14	2.257362e-12	1.974773e-14	5.137157e+01	1	0
